source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,date_annonce,annee,trimestre,periode
coinafrique_scraped,5779079,Location villa 3 pièces - Agoe Total État Major,louer,Villa,Baguida,Lomé,150000.0,3.0,,https://tg.coinafrique.com/annonce/villas/location-villa-3-pieces-agoe-total-etat-major-5779079,,2026,2,2026-Q2
coinafrique_scraped,5783115,Terrain 1 lot avec titre foncier à Agoè assiyeye poste,,Terrain,Agoè,Lomé,42000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-avec-titre-foncier-a-agoe-assiyeye-poste-5783115,,2026,2,2026-Q2
coinafrique_scraped,5785215,Terrain 1/2 lot - Agoé,,Terrain,Agoè,Lomé,28000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-5785215,,2026,2,2026-Q2
coinafrique_scraped,5794882,Vente hôtel avec piscine sur 2 lot au bord du goudron vue sur la mer - Alogavi,vendre,,Baguida,Lomé,600000000.0,,2.0,https://tg.coinafrique.com/annonce/bureaux-et-commerces/vente-hotel-avec-piscine-sur-2-lot-au-bord-du-goudron-vue-sur-la-mer-alogavi-5794882,,2026,2,2026-Q2
coinafrique_scraped,5779055,Vente maison 5 pièces à légbassito zone  des sœurs.avec titre foncier personnel,vendre,Maison,Légbassito,Lomé,19000000.0,5.0,,https://tg.coinafrique.com/annonce/villas/vente-maison-5-pieces-a-legbassito-zone-des-sursavec-titre-foncier-personnel-5779055,,2026,2,2026-Q2
coinafrique_scraped,5780958,Terrain 1/2 lot - Zanguera maco.,,Terrain,Baguida,Lomé,13000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-zanguera-maco-5780958,,2026,2,2026-Q2
coinafrique_scraped,5785203,Terrain 1lot clôturé - Agoé,,Terrain,Agoè,Lomé,38000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-cloture-agoe-5785203,,2026,2,2026-Q2
coinafrique_scraped,5783068,Location villa de 03 pièces à Nukafu togocel,louer,Villa,Baguida,Lomé,200000.0,3.0,,https://tg.coinafrique.com/annonce/villas/location-villa-de-03-pieces-a-nukafu-togocel-5783068,,2026,2,2026-Q2
coinafrique_scraped,5768703,Vente maison de 04 pièces - Avedji sun-city,vendre,Maison,Avédji,Lomé,53000000.0,4.0,,https://tg.coinafrique.com/annonce/villas/vente-maison-de-04-pieces-avedji-sun-city-5768703,,2026,2,2026-Q2
coinafrique_scraped,5785190,Terrain  1/2 lot - Avedji,,Terrain,Avédji,Lomé,35000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-avedji-5785190,,2026,2,2026-Q2
coinafrique_scraped,5803105,Vente villa triplex  7 pièces  - Tokoin,vendre,Villa,Tokoin,Lomé,,7.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-triplex-7-pieces-tokoin-5803105,,2026,2,2026-Q2
coinafrique_scraped,5799368,Vente villa duplex  7 pièces - Kodjoviakopé,vendre,Villa,Kodjoviakopé,Lomé,150000000.0,7.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-7-pieces-kodjoviakope-5799368,,2026,2,2026-Q2
coinafrique_scraped,5803101,Location villa 5 pièces - Forever,louer,Villa,Baguida,Lomé,1500000.0,5.0,,https://tg.coinafrique.com/annonce/villas/location-villa-5-pieces-forever-5803101,,2026,2,2026-Q2
coinafrique_scraped,5783082,Terrain 1 lot  à Agoè assiyeye,,Terrain,Agoè,Lomé,42000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agoe-assiyeye-5783082,,2026,2,2026-Q2
coinafrique_scraped,5785148,Vente villa triplex  6pièces  - Djidjole,vendre,Villa,Baguida,Lomé,300000000.0,6.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-triplex-6pieces-djidjole-5785148,,2026,2,2026-Q2
coinafrique_scraped,5798092,Terrain  1lot - Akodessewo,,Terrain,Baguida,Lomé,40000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-akodessewo-5798092,,2026,2,2026-Q2
coinafrique_scraped,5783010,Vente villa duplex 4 pièces à Hedranawoe,vendre,Villa,Baguida,Lomé,160000000.0,4.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-4-pieces-a-hedranawoe-5783010,,2026,2,2026-Q2
coinafrique_scraped,5798083,Terrain 3 lots collés  -Aadewui,,Terrain,Baguida,Lomé,450000000.0,,3.0,https://tg.coinafrique.com/annonce/terrains/terrain-3-lots-colles-aadewui-5798083,,2026,2,2026-Q2
