titre,type_offre,type_bien,zone,prix,pieces,surface_m2,Valeur par piece,Valeur par m2,source,raison_rejet
Terrain 300 lots - Anié Awatere,VENTE,Terrain,anie awatere,1050000000,,300.0,,3500000.0,coinafrique,prix_m2_trop_eleve
Terrain 1 lot 1/2 - Assigamé,VENTE,Terrain,assigame,900000000,,300.0,,3000000.0,coinafrique,prix_m2_trop_eleve
"Terrain 273,50ha à Tchékpo",VENTE,Terrain,tchekpo,547000000,,2730000.0,,200.0,coinafrique,prix_m2_trop_bas
Terrain 2 lots collés - carrefour Sanol,VENTE,Terrain,carrefour sanol,170000000,,1200.0,,141667.0,coinafrique,zone_description_lieu
Terrain 1 lot et 1/4 face au goudron pavé Forever,VENTE,Terrain,forever,170000000,,750.0,,226667.0,coinafrique,zone_description_lieu
Terrain 1 lot à Forever,VENTE,Terrain,forever,170000000,,600.0,,283333.0,coinafrique,zone_description_lieu
Terrain 740m² à Forever,VENTE,Terrain,forever,170000000,,740.0,,229730.0,coinafrique,zone_description_lieu
Terrain 91ha à Wahala,VENTE,Terrain,wahala,136500000,,910000.0,,150.0,coinafrique,prix_m2_trop_bas
Terrain 12 ha 02ca - Hanoukopé,VENTE,Terrain,hanoukope,110000000,,120000.0,,917.0,coinafrique,prix_m2_trop_bas
Terrain 1 lot - Forever,VENTE,Terrain,forever,90000000,,600.0,,150000.0,coinafrique,zone_description_lieu
Terrain 20 ha - Badza,VENTE,Terrain,badja,80000000,,200000.0,,400.0,coinafrique,prix_m2_trop_bas
Terrain 1 lot - Carrefour Tazo,VENTE,Terrain,carrefour tazo,55000000,,600.0,,91667.0,coinafrique,zone_description_lieu
Terrain 100 m² - Lomé,VENTE,Terrain,lome,40000000,,60000.0,,667.0,coinafrique,prix_m2_trop_bas
Terrain 12 hectares et demi à Amouzou kope,VENTE,Terrain,amouzou kope,36000000,,120000.0,,300.0,coinafrique,prix_m2_trop_bas
Terrain 11 ha 6a à 7 km du goudron Agbessia Kpalime,VENTE,Terrain,agbessia kpalime,35000000,,110000.0,,318.0,coinafrique,prix_m2_trop_bas
"Terrain 4,5 hectares à Kpevego",VENTE,Terrain,kpevego,35000000,,45000.0,,778.0,coinafrique,prix_m2_trop_bas
Terrain 1 lot non loin du carrefour commando et du CCL,VENTE,Terrain,carrefour commando,35000000,,600.0,,58333.0,coinafrique,zone_description_lieu
Terrain 2 lots loin du Carrefour Bonheur,VENTE,Terrain,carrefour bonheur,35000000,,1200.0,,29167.0,coinafrique,zone_description_lieu
Terrain 11 ha - Assahoun,VENTE,Terrain,assahoun,33000000,,110000.0,,300.0,coinafrique,prix_m2_trop_bas
Terrain 1/2 Lot 350 m² TF en face de la pharmacie St Joseph,VENTE,Terrain,pharmacie st joseph,33000000,,300.0,,110000.0,coinafrique,zone_description_lieu
"Terrain 1,75 lots à Apessito",VENTE,Terrain,apessito,30000000,,45000.0,,667.0,coinafrique,prix_m2_trop_bas
Terrain chambres salon - Entreprise de l'union 500m du goudron,VENTE,Terrain,entreprise de l union 500m du goudron,26000000,,600.0,,43333.0,coinafrique,zone_trop_longue
Terrain agricole 5H - Lilikopé,VENTE,Terrain,lilikope,25000000,,50000.0,,500.0,coinafrique,prix_m2_trop_bas
Terrain 10 ha à à Avédjé,VENTE,Terrain,avedje,25000000,,100000.0,,250.0,coinafrique,prix_m2_trop_bas
Vente ferme 5 ha - Agbelouvé,VENTE,Terrain,agbelouve,25000000,,50000.0,,500.0,coinafrique,prix_m2_trop_bas
Terrain 10 hectares à Avedje,VENTE,Terrain,avedje,25000000,,100000.0,,250.0,coinafrique,prix_m2_trop_bas
Terrain à Kegue clinique des moineaux,VENTE,Terrain,kegue clinique des moineaux,25000000,,600.0,,41667.0,coinafrique,zone_description_lieu
Terrain 1 lot non loin de la station Sanol Adidogome Sagbado,VENTE,Terrain,station sanol adidogome sagbado,25000000,,600.0,,41667.0,coinafrique,zone_trop_longue
Terrains 24000 m² - Lomé,VENTE,Terrain,lome,20000000,,24000.0,,833.0,coinafrique,prix_m2_trop_bas
Terrain ½ Lot 300m² à carrefour Obena,VENTE,Terrain,carrefour obena,18000000,,300.0,,60000.0,coinafrique,zone_description_lieu
Terrain 3/4 de lot clôturé à Togokome côté plage angle rue a 300 m du goudron,VENTE,Terrain,togokome cote plage angle rue a,17000000,,450.0,,37778.0,coinafrique,zone_trop_longue
Parcelle 15 ha - Bagbe,VENTE,Terrain,bagbe,15000000,,150000.0,,100.0,coinafrique,prix_m2_trop_bas
Terrain 24 lots dont 18 collés à Koala,VENTE,Terrain,kpala,13000000,,14400.0,,903.0,coinafrique,prix_m2_trop_bas
Terrain 5 hectares à Noepe,VENTE,Terrain,noepe,12000000,,50000.0,,240.0,coinafrique,prix_m2_trop_bas
Terrain 30 lots à Klobateme,VENTE,Terrain,klobateme,11000000,,18000.0,,611.0,coinafrique,prix_m2_trop_bas
Terrain 30 lots - Djagblé,VENTE,Terrain,djagble,11000000,,18000.0,,611.0,coinafrique,prix_m2_trop_bas
Terrain 70 lots à Zanguéra Akepedo,VENTE,Terrain,zanguera,10000000,,42000.0,,238.0,coinafrique,prix_m2_trop_bas
Terrains 31ha - Lilikope,VENTE,Terrain,lilikope,10000000,,310000.0,,32.0,coinafrique,prix_m2_trop_bas
Terrain 28 lots collés - Legbassito,VENTE,Terrain,legbassito,8000000,,16800.0,,476.0,coinafrique,prix_m2_trop_bas
Terrain 20 lots collés - Tsevie,VENTE,Terrain,tsevie,8000000,,12000.0,,667.0,coinafrique,prix_m2_trop_bas
Terrain 20 lots à Tsevie kpali,VENTE,Terrain,tsevie kpali,8000000,,12000.0,,667.0,coinafrique,prix_m2_trop_bas
Terrain 28lots - Legbassito,VENTE,Terrain,legbassito,8000000,,16800.0,,476.0,coinafrique,prix_m2_trop_bas
